label,name_english,name_arabic,category,hardness_moh,luster,streak_color,cleavage,fracture,primary_color,acid_reaction,description_for_ai
graphite,Graphite,جرافيت,Mineral,1.0-2, dull/ Metallic,dark gray / black,perfect,uneven,Black / Gray,No,"هذا معدن الجرافيت، صلادته 1.0-2، لمعانه باهت/فلزي، مخدشه رمادي غامق/أسود، لديه انفصام تام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
gold,Gold,ذهب,Mineral,"2.5,3",Metallic,golden-yelllow,none,Hackly,yellow,No,"هذا معدن الذهب، صلادته 2.5-3، لمعانه فلزي، مخدشه أصفر ذهبي، ليس له انفصام، ومكسره متسنن، لا يتفاعل مع حمض HCl."
silver,Silver,فضة,Mineral,2.5-3,Metallic,silvery white,none,Hackly,silver,No,"هذا معدن الفضة، صلادته 2.5-3، لمعانه فلزي، مخدشه أبيض فضي، ليس له انفصام، ومكسره متسنن، لا يتفاعل مع حمض HCl."
antimonite,Antimonite,انتيمونايت,Mineral,3-3.5,Metallic,pale silvery with gray,perfect,uneven ,gray ,No,"هذا معدن الانتيمونايت، صلادته 3-3.5، لمعانه فلزي، مخدشه رمادي، لديه انفصام تام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
copper,Copper,نحاس,Mineral,2.5-3,Metallic,copper-red,none,Hackly,copper red,No,"هذا معدن النحاس، صلادته 2.5-3، لمعانه فلزي، مخدشه أحمر نحاسي، ليس له انفصام، ومكسره متسنن، لا يتفاعل مع حمض HCl."
sulfur,Sulfur,كبريت,Mineral,1.5-2.2,waxy,white,imperfect,uneven to conchoidal,yellow,No,"هذا معدن الكبريت، صلادته 1.5-2.2، لمعانه شمعي، مخدشه أبيض، لديه انفصام غير تام، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
hematite,Hematite,هيماتيت,Mineral,5.0-6.0,Metallic,Red,none,uneven to sub-conchoidal,brown,No,"هذا معدن الهيماتيت، صلادته 5.0-6.0، لمعانه فلزي، مخدشه أحمر، ليس له انفصام، ومكسره غير مستوٍ إلى شبه محاري، لا يتفاعل مع حمض HCl."
chalcedony,Chalcedony,كالسيدوني,Mineral,6.5-7,"waxy,vitreous",white,none,cochoidal,"white,blue,red,green,brown,black",No,"هذا معدن الكالسيدوني أو العقيق أالابيض، صلادته 6.0-7.0، لمعانه زجاجي شمعي، مخدشه أبيض، ليس لديه انفصام، ومكسره محاري، لا يتفاعل مع حمض HCL."
cassiterite,Cassiterite,كاسيتريت,Mineral,6.0-7.1,greasy, white -gray-brownish,poor,uneven to sub-conchoidal,brown to black,No,"هذا معدن الكاسيتريت، صلادته 6.0-7.1، لمعانه دهني، مخدشه أبيض إلى بني، انفصامه ضعيف، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
quartz,Quartz,كوارتز,Mineral,7,vitreous,white,none,conchoidal,"white,purple,yellow",No,"هذا معدن الكوارتز، صلادته 7، لمعانه زجاجي، مخدشه أبيض، ليس له انفصام، ومكسره محاري، لا يتفاعل مع حمض HCl."
oligoclase,Oligoclase,اوليغوكليز,Mineral,6.0-6.5,vitreous,white,perfect,uneven to conchoidal,"gray,white,greenish,yellowish,brown",No,"هذا معدن الاوليغوكليز، صلادته 6.0-6.5، لمعانه زجاجي، مخدشه أبيض، لديه انفصام تام، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
microcline,Microcline,مايكروكلين,Mineral,6-6.5,vitreous,white,perfect,uneven to conchoidal,"gray,white,yellowish,reddish,salmone pink",No,"هذا معدن المايكروكلين، صلادته  6.0-6.5، لمعانه زجاجي، مخدشه أبيض، له انفصام كامل في اتجاهين يتقاطعان بزاوية شبه قائمة، مكسره غير مستو الى محاري، لا يتفاعل مع HCL"
bournonite,Bournonite,بورنونايت,Mineral,2.5-3,Metallic,gray- black,imperfect,uneven to sub-conchoidal,steel gray to black,No,"هذا معدن البورنونايت، صلادته 2.5-3، لمعانه فلزي، مخدشه رمادي إلى أسود، انفصامه غير تام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
pyrargyrite,Pyrargyrite,بيرارحيريت,Mineral,2.5,sub-metallic,dark red,distinct rhombohedral,uneven to conchoidal,dark red to black,No,"هذا معدن البيرارحيريت، صلادته 2.5، لمعانه شبه فلزي، مخدشه أحمر داكن، لديه انفصام معين أوجه واضح، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
marcasite,Marcasite,ماوكازايت,Mineral,6-6.5,Metallic,greenish-black,distinct ,uneven,brassy yellow,No,"هذا معدن الماركسيت، صلادته 6-6.5، لمعانه فلزي، مخدشه أسود مخضر، لديه انفصام واضح، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
amethyst,Amethyst,اميفيست,Mineral,7,Metallic,white,none,conchoidal,purple,No,"هذا معدن الاميفيست، صلادته 7، لمعانه فلزي، مخدشه أبيض، ليس له انفصام، ومكسره محاري، لا يتفاعل مع حمض HCl."
arsenopyrite,Arsenopyrite,أرسينوبيريت,Mineral,5.5-6,Metallic,black to gray,indistinct,uneven,silvery white,No,"هذا معدن الأرسينوبيريت، صلادته 5.5-6، لمعانه فلزي، مخدشه أسود إلى رمادي، انفصامه غير واضح، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
cobaltin,Cobaltin,كوبالتين,Mineral,5.5,Metallic,grayish-black,perfect,uneven,grayish black,No,"هذا معدن الكوبالتين، صلادته 5.5، لمعانه فلزي، مخدشه أسود رمادي، لديه انفصام تام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
arsenic,Arsenic,الزرنيخ,Mineral,3.5,Metallic,pale gray,perfect,uneven,pale gray and darck gray ,No,"هذا معدن الزرنيخ، صلادته 3.5، لمعانه فلزي، مخدشه رمادي شاحب، لديه انفصام تام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
pyrite,Pyrite,بايريت,Mineral,6-6.5,Metallic,greenish-black,indistinct,uneven to conchoidal,pale yellow,No,"هذا معدن البايريت، صلادته 6-6.5، لمعانه فلزي، مخدشه أسود مخضر، انفصامه غير واضح، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
hornblende,Hornblende,هورنبليند,Mineral,6,vitreous,gray or white,perfect,uneven,green,No,"هذا معدن الهورنبليند، صلادته 6، لمعانه زجاجي، مخدشه رمادي أو أبيض، لديه انفصام تام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
amazonite,Amazonite,أمازونيت,Mineral,6-6.5,vitreous,white,perfect,uneven to conchoidal,green,No,"هذا معدن الأمازونايت، صلادته  6.0-6.5، لمعانه زجاجي، مخدشه ابيض، لديه انفصام تام، مكسره غير مستو الى محاري، لا يتفاعل مع HCL."
chromite,Chromite,كروميت,Mineral,5.5,Metallic,dark brown,none,uneven,black to brownish black,No,"هذا معدن الكروميت، صلادته 5.5، لمعانه فلزي، مخدشه بني داكن، ليس له انفصام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
opal,Opal,أوبال,Mineral,5.5-6.5,vitreous,white,none,uneven to conchoidal,milky white or black with  a brilliant interplay of colors,No,"هذا معدن الأوبال، صلادته 5.5-6.5، لمعانه زجاجي، مخدشه أبيض، ليس له انفصام، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
bismuth,Bismuth,بزموت,Mineral,2-2.5,Metallic,silvery white,perfect,uneven,silvery white,No,"هذا معدن البزموت، صلادته 2-2.5، لمعانه فلزي، مخدشه أبيض فضي، لديه انفصام تام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
tetrahedrite,Tetrahedrite,تيتراهيدريت,Mineral,3-4.5,Metallic,"black,brown,red",none,uneven to sub-conchoidal,silvery,No,"هذا معدن التيتراهيدريت، صلادته 3-4.5، لمعانه فلزي، مخدشه أسود أو بني، ليس له انفصام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
magnetite,Magnetite,ماجنيتيت,Mineral,5.5-6.5,Metallic or dull,black,none,uneven to sub-conchoidal,black,No,"هذا معدن الماجنيتيت، صلادته 5.5-6.5، لمعانه فلزي أو باهت، مخدشه أسود، ليس له انفصام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
chrysoberyl,Chrysoberyl,كريسوبيريل,Mineral,8.5,vitreous,white,distinct ,uneven to conchoidal,"green,yellow,brownish,gray",No,"هذا معدن الكريسوبيريل، صلادته 8.5، لمعانه زجاجي، مخدشه أبيض، لديه انفصام واضح، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
topaz,Topaz,توباز,Mineral,8,vitreous,colorless,perfect,uneven to sub-conchoidal,"white,colorless,gray,yellow,orange,brown,greenish,purple,pink,bluish",No,"هذا معدن التوباز، صلادته 8، لمعانه زجاجي، مخدشه عديم اللون، لديه انفصام تام، ومكسره غير مستوٍ إلى شبه محاري، لا يتفاعل مع حمض HCl."
cinnabar,Cinnabar,سينار ,Mineral,2.5,sub-metallic or dull,scarlet,perfect,uneven to conchoidal,brownish red or scarlet,No,"هذا معدن السينار، صلادته 2.5، لمعانه شبه فلزي أو باهت، مخدشه قرمزي، لديه انفصام تام، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
beryl,Beryl,بيريل,Mineral,7.5-8,vitreous,white,indistinct,uneven to conchoidal,"colorless,white,green,yellow,pink,red,blue",No,"هذا معدن البيريل، صلادته 7.5-8، لمعانه زجاجي، مخدشه أبيض، انفصامه غير واضح، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
labradorite,Labradorite,لابرادوريت,Mineral,6-6.5,vitreous,white,perfect,uneven to conchoidal,"blue,gray,green,white,colorless",No,"هذا معدن اللابرادوريت، صلادته 6-6.5، لمعانه زجاجي، مخدشه أبيض، لديه انفصام تام، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
gypsum,Gypsum,جبس,Mineral,2,vitreous,white,perfect,splintery,"colorless,white,gray,greenish,yellowish,brownish,reddish",No,"هذا معدن الجبس، صلادته 2، لمعانه زجاجي، مخدشه أبيض، لديه انفصام تام، ومكسره شظوي، لا يتفاعل مع حمض HCl."
proustite,Proustite,بروستيت,Mineral,2-2.5,adamantine to submetallic,scarlet,distinct rhombohedral,uneven to conchoidal,rich scarlet,No,"هذا معدن البروستيت، صلادته 2-2.5، لمعانه ماسي إلى شبه فلزي، مخدشه قرمزي، لديه انفصام معين أوجه واضح، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
spodumene,Spodumene,سبودومين,Mineral,6.5-7,vitreous to dull,white,perfect,uneven,"colorless,white,gray,yellowish,greenish,pink,lilac",No,"هذا معدن السبودومين، صلادته 6.5-7، لمعانه زجاجي إلى باهت، مخدشه أبيض، لديه انفصام تام، ومكسره غير مستوٍ، لا يتفاعل مع حمض HCl."
jasper,Jasper,جاسبر ,Mineral,6-6.5,vitreous,white,none,cochoidal to subconchoidal,"red,yellow,brown,green",No,"هذا معدن الجاسبر، صلادته  6.0-6.5, لمعانه زجاجي، مخدشه أبيض، ليس لديه انفصام، مكسره محاري إلى شبه محاري، لا يتفاعل مع HCL"
augite,Augite,أوجيت,Mineral,5.5-6,vitreous to dull,grayish-green or brownish,good,uneven to conchoidal,"brownish,greenish,black",No,"هذا معدن الأوجيت، صلادته 5.5-6، لمعانه زجاجي إلى باهت، مخدشه أخضر رمادي أو بني، انفصامه جيد، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
agate,Agate,عقيق,Mineral,6.5-7,"waxy,vitreous",white,none,cochoidal,"banded multicolored,earth tones (white, gray, black,brown,) red, orange and yellow. Rare (green,blue,purple,pink)",No,"هذا معدن العقيق, صلادته 6.0-7.0, لمعانه شمعي وعند الصقل زجاجي، مخدشه أبيض، ليس لديه انفصام، مكسره محاري، لا يتفاعل مع HCL"
spinel,Spinel,سبينيل,Mineral,7.5-8,vitreous,white,none,uneven to conchoidal,"red,pink,blue,purple,orange,gray,black",No,"هذا معدن السبينيل، صلادته 7.5-8، لمعانه زجاجي، مخدشه أبيض، ليس له انفصام، ومكسره غير مستوٍ إلى محاري، لا يتفاعل مع حمض HCl."
andalusite,Andalusite,أندالوسيت,Mineral,6.5-7.5,vitreous,colorless,distinct prismatic,uneven to sub-conchoidal,"pink,reddish,brownish,whitish,grayish,greenish",No,"هذا معدن الأندالوسيت، صلادته 6.5-7.5، لمعانه زجاجي، مخدشه عديم اللون، لديه انفصام منشوري واضح، ومكسره غير مستوٍ إلى شبه محاري، لا يتفاعل مع حمض HCl."
flint,Flint,صوان,Rock,6.5-7,waxy or dull,white,none,cochoidal to subconchoidal,"gray,black,brown,red,white",No,"هذا معدن الصوان، صلادته 6.0-7, لمعانه شمعي باهت، مخدشه أبيض، ليس لديه انفصام، مكسره محاري لشبه محاري، لا يتفاعل مع HCL."
pollucite,Pollucite,بولوسيت,Mineral,6.5-7,"waxy,vitreous",white,none,uneven to conchoidal,"colorless,white, light gray, light pink, light blue",No,"هذا معدن البوليسيت، صلادته 6.5-7, لمعانه شمعي إلى زجاهي، مخدشه أبيض، ليس لديه انفصام، مكسره غير مستو إلى محاري، لا يتفاعل مع HCL"
cuprite,Cuprite,كوبريت,Mineral,3.5-5,earthy ,brownish red,poor,uneven to conchoidal,"red ,green,blue,brown,black",No,"هذا معدن الكوبريت، صلاته 3.5-5, لمعانه ترابي، مخدشه بني محمر، انفصامه ضعيف، مكسره غير مستو إلى محاري لا يتفاعل مع HCL."
hedenbergite,Hedenbergite,هيدينبيرجيت,Mineral,5.5-6.5,vitreous to dull,white or gray,good,uneven to conchoidal,"brownish,grayish,greenish,dark green,black or brown",No,"هذا معدن الهيدينبيرجيت صلادته 5.5-6.5 لمعانه زجاجي مطفي، محدشه أبيض إلى رمادي، لديه انفصام جيد، مكسره غير مستو إلى محاري، لا يتفاعل مع HCL."
